rank,title,genre,rating,id,year,imdbid
1,The Shawshank Redemption,['Drama'],9.3,top1,1994,tt0111161
2,The Godfather,"['Crime', 'Drama']",9.2,top2,1972,tt0068646
3,The Dark Knight,"['Action', 'Crime', 'Drama']",9.0,top3,2008,tt0468569
4,The Godfather Part II,"['Crime', 'Drama']",9.0,top4,1974,tt0071562
5,12 Angry Men,"['Crime', 'Drama']",9.0,top5,1957,tt0050083
6,Schindler's List,"['Biography', 'Drama', 'History']",9.0,top6,1993,tt0108052
7,The Lord of the Rings: The Return of the King,"['Action', 'Adventure', 'Drama']",9.0,top7,2003,tt0167260
8,Pulp Fiction,"['Crime', 'Drama']",8.9,top8,1994,tt0110912
9,The Lord of the Rings: The Fellowship of the Ring,"['Action', 'Adventure', 'Drama']",8.8,top9,2001,tt0120737
10,"The Good, the Bad and the Ugly","['Adventure', 'Western']",8.8,top10,1966,tt0060196
11,Forrest Gump,"['Drama', 'Romance']",8.8,top11,1994,tt0109830
12,Fight Club,['Drama'],8.8,top12,1999,tt0137523
13,The Lord of the Rings: The Two Towers,"['Action', 'Adventure', 'Drama']",8.8,top13,2002,tt0167261
14,Inception,"['Action', 'Adventure', 'Sci-Fi']",8.7,top14,2010,tt1375666
15,Star Wars: Episode V - The Empire Strikes Back,"['Action', 'Adventure', 'Fantasy']",8.7,top15,1980,tt0080684
16,The Matrix,"['Action', 'Sci-Fi']",8.7,top16,1999,tt0133093
17,Goodfellas,"['Biography', 'Crime', 'Drama']",8.7,top17,1990,tt0099685
18,Spider-Man: Across the Spider-Verse,"['Animation', 'Action', 'Adventure']",8.7,top18,2023,tt9362722
19,Interstellar,"['Adventure', 'Drama', 'Sci-Fi']",8.7,top19,2014,tt0816692
20,One Flew Over the Cuckoo's Nest,['Drama'],8.6,top20,1975,tt0073486
21,Se7en,"['Crime', 'Drama', 'Mystery']",8.6,top21,1995,tt0114369
22,It's a Wonderful Life,"['Drama', 'Family', 'Fantasy']",8.6,top22,1946,tt0038650
23,Seven Samurai,"['Action', 'Drama']",8.6,top23,1954,tt0047478
24,The Silence of the Lambs,"['Crime', 'Drama', 'Thriller']",8.6,top24,1991,tt0102926
25,Saving Private Ryan,"['Drama', 'War']",8.6,top25,1998,tt0120815
26,City of God,"['Crime', 'Drama']",8.6,top26,2002,tt0317248
27,Life Is Beautiful,"['Comedy', 'Drama', 'Romance']",8.6,top27,1997,tt0118799
28,The Green Mile,"['Crime', 'Drama', 'Fantasy']",8.6,top28,1999,tt0120689
29,Star Wars: Episode IV - A New Hope,"['Action', 'Adventure', 'Fantasy']",8.6,top29,1977,tt0076759
30,Terminator 2: Judgment Day,"['Action', 'Sci-Fi']",8.6,top30,1991,tt0103064
31,Spirited Away,"['Animation', 'Adventure', 'Family']",8.6,top31,2001,tt0245429
